0,1_x,1_y,delta
Turkey,64.7813933146135,25.4614702647871,-39.3199230498264
Ecuador,45.5841698755258,23.6605141837171,-21.9236556918087
Lithuania,65.9131738040044,20.3155936020134,-45.597580201991
Senegal,32.4230409244947,15.2285352526259,-17.1945056718688
Brazil,13.5801032204273,12.4055959517401,-1.17450726868715
Dominican Republic,60.2867269805763,9.76014755789552,-50.5265794226808
US,8.69186418090619,8.67695470480188,-0.014909476104306
Portugal,7.77003962576235,8.21186732069108,0.441827694928738
Ireland,8.35287044037422,8.15471729093736,-0.198153149436854
Hungary,7.44179943014165,7.36146250225084,-0.08033692789081
Luxembourg,11.0568703263442,7.03625888766318,-4.02061143868104
South Africa,4.77481105578671,6.53182987876739,1.75701882298068
Malta,7.46388132015119,6.3867729033271,-1.07710841682408
Canada,5.91040459587377,6.27204731027931,0.361642714405537
Spain,5.97369176097596,5.94350347108837,-0.030188289887596
Panama,5.90453145121799,5.83073688201871,-0.073794569199274
Czechia,6.84844838189532,5.79309743119403,-1.05535095070129
Germany,5.92193068720171,5.70846748212396,-0.213463205077754
Pakistan,7.48114708177009,5.53700045831034,-1.94414662345975
Indonesia,6.55104886372275,5.38254819531719,-1.16850066840555
Austria,4.91021620368879,5.20822080489661,0.298004601207817
Argentina,5.04909015327608,4.96280703988605,-0.086283113390027
Croatia,4.88491982482953,4.95041381794494,0.065493993115415
Liechtenstein,2.0907515812877E-07,4.69460807924448,4.69460787016933
Australia,4.58504434129021,4.55584073447663,-0.029203606813582
India,4.32804936230315,4.47323372743822,0.145184365135075
Israel,3.92390594786366,4.31671102518395,0.392805077320292
Russia,4.62826290179517,4.30684155624423,-0.321421345550942
Cameroon,1,4.27795697546126,3.27795697546126
Malaysia,4.16017651082367,4.10781600290474,-0.052360507918936
Mexico,3.87041727861439,4.07773925234646,0.207321973732073
United Kingdom,3.93704064167347,4.06874316648414,0.131702524810664
Switzerland,3.79701537535949,4.04626555928417,0.249250183924672
France,3.80481349937108,3.93183050014253,0.127017000771444
Costa Rica,4.64215313494813,3.90717930117804,-0.734973833770087
Poland,3.99987194011711,3.86442583862771,-0.135446101489403
Serbia,4.67106473128372,3.84311419356803,-0.827950537715683
Georgia,3.53049774938211,3.83137305354287,0.300875304160755
North Macedonia,6.46171933954367,3.8123020933818,-2.64941724616188
Belgium,3.92360806989402,3.68552453089379,-0.23808353900023
Netherlands,3.77002410424338,3.6521092125958,-0.117914891647582
Latvia,2.59017334241142,3.55595687289992,0.965783530488504
Chile,3.06466667989161,3.45972052506946,0.395053845177847
Colombia,3.5071342180752,3.45332906344431,-0.053805154630888
Algeria,3.51951485937783,3.4479198778691,-0.07159498150873
Morocco,2.93040496166545,3.3229475828419,0.392542621176444
Finland,3.54629972503478,3.30944556567968,-0.236854159355093
Saudi Arabia,3.44625901510841,3.25343112780129,-0.192827887307114
Burkina Faso,1.66810291072748,3.23728769700611,1.56918478627863
Romania,2.58610223068154,3.12669959177962,0.540597361098078
Andorra,3.44638050538869,3.09417617096187,-0.352204334426822
Italy,2.90034936845531,2.84571795126186,-0.054631417193448
Iceland,3.37452841819616,2.83911546618362,-0.535412952012536
Philippines,2.41267095746505,2.753295872206,0.340624914740947
Norway,2.69565299721821,2.59942004194219,-0.096232955276022
Bulgaria,3.20066379746498,2.50269623005138,-0.697967567413598
Iran,2.48310369809792,2.39215246777774,-0.090951230320175
Peru,2.54674083477539,2.34121254174864,-0.205528293026746
Vietnam,2.3840087533873,2.31783296723631,-0.066175786150984
Lebanon,2.60467570502527,2.27823413541617,-0.326441569609102
Taiwan*,2.17403365126959,2.26283587079953,0.088802219529939
Greece,2.0569957572836,2.21868564359476,0.16168988631116
Cyprus,1.21953271384794,2.14692642694667,0.927393713098727
Iraq,1.98190628529372,2.09363573738878,0.111729452095066
Egypt,1.89257070993076,2.07120849276059,0.178637782829835
Armenia,1.60699725440702,1.99688589087712,0.389888636470094
Sweden,2.14226589820135,1.99292083556556,-0.149345062635791
Thailand,1.8888031077977,1.9553831538266,0.066580046028901
Azerbaijan,2.54447629793988,1.78976558359861,-0.754710714341262
Bahrain,1.67143565058535,1.71781636014235,0.046380709556996
Tunisia,1.23376838665118,1.60169289820221,0.367924511551034
Kuwait,1.7847358277269,1.53829866606677,-0.246437161660131
Albania,1.1800041580155,1.51018942448974,0.330185266474243
Singapore,1.45672786864529,1.49174900408054,0.035021135435246
United Arab Emirates,1.00665355450799,1.43226653026483,0.425612975756838
Japan,1.2892173700558,1.2399178463715,-0.049299523684306
Denmark,1.26537748436156,1.15317589533778,-0.112201589023788
Ghana,1.08166836550203,1.08976191312162,0.008093547619586
Bolivia,1.06701436464217,1.0750871916357,0.008072826993528
Montenegro,1.06163072285527,1.07115624794076,0.009525525085494
Cote d'Ivoire,1.04194274852667,1.06629771557348,0.024354967046814
San Marino,0.834637700609204,1.06347622616309,0.228838525553882
Paraguay,1.06442680980869,1.06005871410013,-0.004368095708558
Guatemala,1.06201872236316,1.05788187239075,-0.004136849972413
Monaco,1.05787566322686,1.05402643757174,-0.00384922565512
Barbados,1.04131843510041,1.05094556661177,0.009627131511364
Kyrgyzstan,1.04527870980532,1.05008818799956,0.004809478194237
Togo,1.04335620664318,1.04829516606168,0.004938959418501
Guyana,1.01971232866245,1.04503154693229,0.025319218269835
Jamaica,1.03372878396529,1.04324509192119,0.009516307955899
Kenya,1.04378107050696,1.04089008564174,-0.002890984865221
Tanzania,1.03826333235926,1.03575403338708,-0.002509298972185
Madagascar,1.01145207003281,1.03487140040549,0.023419330372676
Ethiopia,1.03189885559004,1.02977999047879,-0.002118865111242
Equatorial Guinea,1.01765548882555,1.0285656251946,0.010910136369056
Mongolia,1.02809875253706,1.02624130475522,-0.001857447781843
Maldives,1.02742738566749,1.02540445771802,-0.002022927949466
Uganda,1,1.02261143560127,0.022611435601268
Haiti,1.00721026137578,1.02186203266272,0.014651771286942
Benin,1,1.01188308482477,0.011883084824767
Seychelles,1.01265205399336,1.01179868087261,-0.000853373120746
Eswatini,1.01227507583512,1.01149124560809,-0.000783830227024
Suriname,1.01145207003281,1.01070802232066,-0.000744047712151
Antigua and Barbuda,1,1.00748103968449,0.007481039684486
Djibouti,1,1.00748103968449,0.007481039684486
Guinea,1,1.00748103968449,0.007481039684486
Cabo Verde,1.00746873000044,1.00698876961897,-0.000479960381474
El Salvador,1.00746873000044,1.00698876961897,-0.000479960381474
Zimbabwe,1.00746873000044,1.00698876961897,-0.000479960381474
Central African Republic,1.00721026137578,1.00674272479245,-0.000467536583329
Gabon,1.00721026137578,1.00674272479245,-0.000467536583329
Congo (Brazzaville),1.00695185906189,1.00649674008385,-0.00045511897805
Bahamas,,1.00649674008385,
Zambia,1.00669352304177,1.00625081547846,-0.000442707563312
Namibia,1.00566084155878,1.00526771779542,-0.000393123763361
Angola,1,1,0
Bhutan,1,1,0
Chad,1,1,0
Dominica,1,1,0
Eritrea,1,1,0
Fiji,1,1,0
Grenada,1,1,0
Holy See,1,1,0
Liberia,1,1,0
Mauritania,1,1,0
Mozambique,1,1,0
Nepal,1,1,0
Nicaragua,1,1,0
Niger,1,1,0
Papua New Guinea,1,1,0
Saint Lucia,1,1,0
Saint Vincent and the Grenadines,1,1,0
Somalia,1,1,0
Sudan,1,1,0
Syria,1,1,0
Timor-Leste,1,1,0
Rwanda,1.05043281188558,1,-0.050432811885581
Mauritius,1.05779200354373,1,-0.057792003543729
Bangladesh,1.0933735904634,1,-0.093373590463398
Belize,,1,
Congo (Kinshasa),,1,
Gambia,,1,
Nigeria,,1,
"Korea, South",1.15417677539595,0.981319428476081,-0.172857346919873
Slovenia,0.86854037366924,0.927184662100927,0.058644288431687
Cambodia,1.75957569267043,0.779429392527171,-0.980146300143256
Belarus,0.532920527918331,0.746360721785059,0.213440193866728
Bosnia and Herzegovina,1.14274613007949,0.676987174935015,-0.465758955144478
Sri Lanka,0.240418210936651,0.657459204516528,0.417040993579877
China,0.631644860782908,0.636339307493644,0.004694446710735
Moldova,0.459686439971146,0.626971935450145,0.167285495478999
Cruise Ship,0.593193243493099,0.584151287422635,-0.009041956070464
Jordan,0.27700368845737,0.549117332901599,0.272113644444228
Brunei,0.556583311574986,0.523980303325403,-0.032603008249583
Slovakia,1.30206076580482,0.522216219041946,-0.779844546762874
Oman,0.059554451792203,0.50054216937492,0.440987717582717
Estonia,0.373512342839922,0.47338224663355,0.099869903793628
Venezuela,0.166829110120046,0.456483002521375,0.28965389240133
Qatar,0.425701093412277,0.432258612911357,0.00655751949908
Uruguay,0.841810597676877,0.261067244306226,-0.580743353370651
Kazakhstan,0.41014148579071,0.244604820965713,-0.165536664824998
New Zealand,2.32580728670165,0.016695291936107,-2.30911199476554
Uzbekistan,0.000316227766017,0.01592042418427,0.015604196418253
Cuba,1,0.000741128954408,-0.999258871045592
Ukraine,13.1191561141208,4.04153395739913E-05,-13.1191156987812
Trinidad and Tobago,6.10351562500003E-12,2.47052942200655E-06,2.47052331849093E-06
Afghanistan,1,3.72529029846195E-09,-0.99999999627471
"Bahamas, The",1.00695185906189,,
Cape Verde,1,,
East Timor,1,,
"Gambia, The",1,,
Honduras,1.06767532067927,,
Kosovo,1.0059189125739,,
Martinique,0.127804525462951,,
